age,sex,risk,alive,expectation
0,1,0.006064,"100,000",74.74
1,1,0.000491,"99,394",74.2
2,1,0.000309,"99,345",73.23
3,1,0.000248,"99,314",72.25
4,1,0.000199,"99,290",71.27
5,1,0.000167,"99,270",70.29
6,1,0.000143,"99,253",69.3
7,1,0.000126,"99,239",68.31
8,1,0.000121,"99,226",67.32
9,1,0.000121,"99,214",66.32
10,1,0.000127,"99,202",65.33
11,1,0.000143,"99,190",64.34
12,1,0.000171,"99,176",63.35
13,1,0.000227,"99,159",62.36
14,1,0.00032,"99,136",61.37
15,1,0.000451,"99,104",60.39
16,1,0.000622,"99,060",59.42
17,1,0.000826,"98,998",58.46
18,1,0.001026,"98,916",57.5
19,1,0.001182,"98,815",56.56
20,1,0.001301,"98,698",55.63
21,1,0.001404,"98,570",54.7
22,1,0.001498,"98,431",53.78
23,1,0.001586,"98,284",52.86
24,1,0.001679,"98,128",51.94
25,1,0.001776,"97,963",51.03
26,1,0.001881,"97,789",50.12
27,1,0.001985,"97,605",49.21
28,1,0.002095,"97,412",48.31
29,1,0.002219,"97,208",47.41
30,1,0.002332,"96,992",46.51
31,1,0.002445,"96,766",45.62
32,1,0.002562,"96,529",44.73
33,1,0.002653,"96,282",43.84
34,1,0.002716,"96,026",42.96
35,1,0.002791,"95,765",42.08
36,1,0.002894,"95,498",41.19
37,1,0.002994,"95,222",40.31
38,1,0.003091,"94,937",39.43
39,1,0.003217,"94,643",38.55
40,1,0.003353,"94,339",37.67
41,1,0.003499,"94,022",36.8
42,1,0.003642,"93,693",35.93
43,1,0.003811,"93,352",35.05
44,1,0.003996,"92,997",34.19
45,1,0.004175,"92,625",33.32
46,1,0.004388,"92,238",32.46
47,1,0.004666,"91,833",31.6
48,1,0.004973,"91,405",30.75
49,1,0.005305,"90,950",29.9
50,1,0.005666,"90,468",29.05
51,1,0.006069,"89,955",28.22
52,1,0.006539,"89,409",27.39
53,1,0.007073,"88,825",26.56
54,1,0.007675,"88,196",25.75
55,1,0.008348,"87,520",24.94
56,1,0.009051,"86,789",24.15
57,1,0.009822,"86,003",23.37
58,1,0.010669,"85,159",22.59
59,1,0.011548,"84,250",21.83
60,1,0.012458,"83,277",21.08
61,1,0.013403,"82,240",20.34
62,1,0.01445,"81,138",19.61
63,1,0.015571,"79,965",18.89
64,1,0.016737,"78,720",18.18
65,1,0.017897,"77,402",17.48
66,1,0.019017,"76,017",16.79
67,1,0.020213,"74,572",16.11
68,1,0.021569,"73,064",15.43
69,1,0.023088,"71,488",14.76
70,1,0.024828,"69,838",14.09
71,1,0.026705,"68,104",13.44
72,1,0.028761,"66,285",12.8
73,1,0.031116,"64,379",12.16
74,1,0.033861,"62,376",11.53
75,1,0.037088,"60,263",10.92
76,1,0.041126,"58,028",10.32
77,1,0.045241,"55,642",9.74
78,1,0.049793,"53,125",9.18
79,1,0.054768,"50,479",8.64
80,1,0.06066,"47,715",8.11
81,1,0.067027,"44,820",7.6
82,1,0.073999,"41,816",7.11
83,1,0.081737,"38,722",6.64
84,1,0.090458,"35,557",6.18
85,1,0.100525,"32,340",5.75
86,1,0.111793,"29,089",5.34
87,1,0.124494,"25,837",4.94
88,1,0.138398,"22,621",4.58
89,1,0.153207,"19,490",4.23
90,1,0.169704,"16,504",3.91
91,1,0.187963,"13,703",3.6
92,1,0.208395,"11,128",3.32
93,1,0.230808,"8,809",3.06
94,1,0.253914,"6,776",2.83
95,1,0.277402,"5,055",2.63
96,1,0.300882,"3,653",2.44
97,1,0.324326,"2,554",2.28
98,1,0.347332,"1,726",2.13
99,1,0.36943,"1,126",2
100,1,0.391927,710,1.88
101,1,0.414726,432,1.76
102,1,0.437722,253,1.66
103,1,0.4608,142,1.56
104,1,0.48384,77,1.47
105,1,0.508032,40,1.39
106,1,0.533434,19,1.31
107,1,0.560105,9,1.23
108,1,0.588111,4,1.15
109,1,0.617516,2,1.08
110,1,0.648392,1,1.01
111,1,0.680812,0,0.94
112,1,0.714852,0,0.87
113,1,0.750595,0,0.81
114,1,0.788125,0,0.75
115,1,0.827531,0,0.7
116,1,0.868907,0,0.64
117,1,0.912353,0,0.59
118,1,0.95797,0,0.54
119,1,1,0,0.5
0,0,0.005119,"100,000",80.18
1,0,0.000398,"99,488",79.6
2,0,0.00024,"99,449",78.63
3,0,0.000198,"99,425",77.65
4,0,0.00016,"99,405",76.66
5,0,0.000134,"99,389",75.67
6,0,0.000118,"99,376",74.68
7,0,0.000109,"99,364",73.69
8,0,0.000106,"99,353",72.7
9,0,0.000106,"99,343",71.71
10,0,0.000111,"99,332",70.72
11,0,0.000121,"99,321",69.72
12,0,0.00014,"99,309",68.73
13,0,0.000162,"99,295",67.74
14,0,0.000188,"99,279",66.75
15,0,0.000224,"99,260",65.76
16,0,0.000276,"99,238",64.78
17,0,0.000337,"99,211",63.8
18,0,0.000395,"99,177",62.82
19,0,0.00045,"99,138",61.84
20,0,0.000496,"99,094",60.87
21,0,0.000532,"99,044",59.9
22,0,0.000567,"98,992",58.93
23,0,0.00061,"98,936",57.97
24,0,0.00065,"98,875",57
25,0,0.000699,"98,811",56.04
26,0,0.000743,"98,742",55.08
27,0,0.000796,"98,669",54.12
28,0,0.000855,"98,590",53.16
29,0,0.000924,"98,506",52.2
30,0,0.000988,"98,415",51.25
31,0,0.001053,"98,318",50.3
32,0,0.001123,"98,214",49.35
33,0,0.001198,"98,104",48.41
34,0,0.001263,"97,986",47.47
35,0,0.001324,"97,863",46.53
36,0,0.001403,"97,733",45.59
37,0,0.001493,"97,596",44.65
38,0,0.001596,"97,450",43.72
39,0,0.0017,"97,295",42.79
40,0,0.001803,"97,129",41.86
41,0,0.001905,"96,954",40.93
42,0,0.002009,"96,769",40.01
43,0,0.002116,"96,575",39.09
44,0,0.002223,"96,371",38.17
45,0,0.002352,"96,156",37.25
46,0,0.002516,"95,930",36.34
47,0,0.002712,"95,689",35.43
48,0,0.002936,"95,429",34.53
49,0,0.003177,"95,149",33.63
50,0,0.003407,"94,847",32.73
51,0,0.003642,"94,524",31.84
52,0,0.003917,"94,180",30.96
53,0,0.004238,"93,811",30.08
54,0,0.004619,"93,413",29.2
55,0,0.00504,"92,982",28.34
56,0,0.005493,"92,513",27.48
57,0,0.005987,"92,005",26.63
58,0,0.006509,"91,454",25.78
59,0,0.007067,"90,859",24.95
60,0,0.007658,"90,217",24.12
